func_name,tries,max_value
linear_ai,1,0
binary_search_ai,1,0
linear_ai,539,1000
binary_search_ai,10,1000
linear_ai,1336,2000
binary_search_ai,5,2000
linear_ai,2172,3000
binary_search_ai,10,3000
linear_ai,3345,4000
binary_search_ai,10,4000
linear_ai,383,5000
binary_search_ai,13,5000
linear_ai,754,6000
binary_search_ai,12,6000
linear_ai,2592,7000
binary_search_ai,13,7000
linear_ai,611,8000
binary_search_ai,11,8000
linear_ai,8251,9000
binary_search_ai,10,9000
linear_ai,762,10000
binary_search_ai,13,10000
linear_ai,8006,11000
binary_search_ai,13,11000
linear_ai,9060,12000
binary_search_ai,12,12000
linear_ai,7929,13000
binary_search_ai,14,13000
linear_ai,2759,14000
binary_search_ai,14,14000
linear_ai,3217,15000
binary_search_ai,12,15000
linear_ai,6570,16000
binary_search_ai,13,16000
linear_ai,5446,17000
binary_search_ai,14,17000
linear_ai,1154,18000
binary_search_ai,13,18000
linear_ai,15610,19000
binary_search_ai,14,19000
linear_ai,14277,20000
binary_search_ai,14,20000
linear_ai,13201,21000
binary_search_ai,13,21000
linear_ai,1397,22000
binary_search_ai,15,22000
linear_ai,7682,23000
binary_search_ai,12,23000
linear_ai,9167,24000
binary_search_ai,15,24000
linear_ai,6517,25000
binary_search_ai,15,25000
linear_ai,7957,26000
binary_search_ai,14,26000
linear_ai,5491,27000
binary_search_ai,14,27000
linear_ai,6122,28000
binary_search_ai,15,28000
linear_ai,5980,29000
binary_search_ai,14,29000
linear_ai,4438,30000
binary_search_ai,11,30000
linear_ai,25213,31000
binary_search_ai,14,31000
linear_ai,3255,32000
binary_search_ai,14,32000
linear_ai,25599,33000
binary_search_ai,15,33000
linear_ai,24915,34000
binary_search_ai,15,34000
linear_ai,16968,35000
binary_search_ai,15,35000
linear_ai,1809,36000
binary_search_ai,14,36000
linear_ai,30890,37000
binary_search_ai,14,37000
linear_ai,4082,38000
binary_search_ai,15,38000
linear_ai,29233,39000
binary_search_ai,14,39000
linear_ai,20240,40000
binary_search_ai,16,40000
linear_ai,11400,41000
binary_search_ai,16,41000
linear_ai,20684,42000
binary_search_ai,8,42000
linear_ai,8015,43000
binary_search_ai,14,43000
linear_ai,17081,44000
binary_search_ai,14,44000
linear_ai,34884,45000
binary_search_ai,16,45000
linear_ai,44085,46000
binary_search_ai,16,46000
linear_ai,40494,47000
binary_search_ai,14,47000
linear_ai,10548,48000
binary_search_ai,14,48000
linear_ai,17962,49000
binary_search_ai,14,49000
linear_ai,39290,50000
binary_search_ai,15,50000
linear_ai,37907,51000
binary_search_ai,13,51000
linear_ai,38250,52000
binary_search_ai,12,52000
linear_ai,25390,53000
binary_search_ai,15,53000
linear_ai,40087,54000
binary_search_ai,16,54000
linear_ai,34804,55000
binary_search_ai,16,55000
linear_ai,25358,56000
binary_search_ai,13,56000
linear_ai,25548,57000
binary_search_ai,15,57000
linear_ai,30206,58000
binary_search_ai,12,58000
linear_ai,5462,59000
binary_search_ai,13,59000
linear_ai,38019,60000
binary_search_ai,11,60000
linear_ai,57388,61000
binary_search_ai,16,61000
linear_ai,12422,62000
binary_search_ai,16,62000
linear_ai,24559,63000
binary_search_ai,8,63000
linear_ai,5587,64000
binary_search_ai,15,64000
linear_ai,35592,65000
binary_search_ai,16,65000
linear_ai,48901,66000
binary_search_ai,16,66000
linear_ai,23902,67000
binary_search_ai,13,67000
linear_ai,29995,68000
binary_search_ai,16,68000
linear_ai,48832,69000
binary_search_ai,14,69000
linear_ai,56303,70000
binary_search_ai,12,70000
linear_ai,44638,71000
binary_search_ai,15,71000
linear_ai,20590,72000
binary_search_ai,16,72000
linear_ai,12444,73000
binary_search_ai,15,73000
linear_ai,44654,74000
binary_search_ai,16,74000
linear_ai,16534,75000
binary_search_ai,12,75000
linear_ai,59747,76000
binary_search_ai,16,76000
linear_ai,29669,77000
binary_search_ai,16,77000
linear_ai,41790,78000
binary_search_ai,16,78000
linear_ai,55340,79000
binary_search_ai,16,79000
linear_ai,44337,80000
binary_search_ai,13,80000
linear_ai,56939,81000
binary_search_ai,16,81000
linear_ai,70241,82000
binary_search_ai,14,82000
linear_ai,5749,83000
binary_search_ai,16,83000
linear_ai,51998,84000
binary_search_ai,16,84000
linear_ai,61236,85000
binary_search_ai,16,85000
linear_ai,28696,86000
binary_search_ai,17,86000
linear_ai,9566,87000
binary_search_ai,14,87000
linear_ai,110,88000
binary_search_ai,17,88000
linear_ai,60372,89000
binary_search_ai,13,89000
linear_ai,24784,90000
binary_search_ai,16,90000
linear_ai,48880,91000
binary_search_ai,17,91000
linear_ai,52858,92000
binary_search_ai,15,92000
linear_ai,19292,93000
binary_search_ai,16,93000
linear_ai,84291,94000
binary_search_ai,16,94000
linear_ai,87414,95000
binary_search_ai,16,95000
linear_ai,8737,96000
binary_search_ai,16,96000
linear_ai,24485,97000
binary_search_ai,15,97000
linear_ai,92653,98000
binary_search_ai,15,98000
linear_ai,60400,99000
binary_search_ai,16,99000
linear_ai,229,1000
binary_search_ai,9,1000
linear_ai,1642,2000
binary_search_ai,11,2000
linear_ai,1878,3000
binary_search_ai,10,3000
linear_ai,612,4000
binary_search_ai,12,4000
linear_ai,518,5000
binary_search_ai,10,5000
linear_ai,5157,6000
binary_search_ai,12,6000
linear_ai,1001,7000
binary_search_ai,13,7000
linear_ai,2992,8000
binary_search_ai,12,8000
linear_ai,6087,9000
binary_search_ai,13,9000
linear_ai,7103,10000
binary_search_ai,14,10000
linear_ai,6759,11000
binary_search_ai,14,11000
linear_ai,1893,12000
binary_search_ai,13,12000
linear_ai,4667,13000
binary_search_ai,13,13000
linear_ai,9474,14000
binary_search_ai,13,14000
linear_ai,9272,15000
binary_search_ai,13,15000
linear_ai,10268,16000
binary_search_ai,14,16000
linear_ai,12038,17000
binary_search_ai,14,17000
linear_ai,12839,18000
binary_search_ai,15,18000
linear_ai,459,19000
binary_search_ai,14,19000
linear_ai,13540,20000
binary_search_ai,13,20000
linear_ai,3524,21000
binary_search_ai,12,21000
linear_ai,7746,22000
binary_search_ai,15,22000
linear_ai,393,23000
binary_search_ai,14,23000
linear_ai,15636,24000
binary_search_ai,14,24000
linear_ai,23792,25000
binary_search_ai,14,25000
linear_ai,13468,26000
binary_search_ai,10,26000
linear_ai,10495,27000
binary_search_ai,14,27000
linear_ai,17494,28000
binary_search_ai,14,28000
linear_ai,27161,29000
binary_search_ai,14,29000
linear_ai,22765,30000
binary_search_ai,15,30000
linear_ai,18295,31000
binary_search_ai,15,31000
linear_ai,13401,32000
binary_search_ai,9,32000
linear_ai,20181,33000
binary_search_ai,10,33000
linear_ai,2412,34000
binary_search_ai,15,34000
linear_ai,23270,35000
binary_search_ai,15,35000
linear_ai,8479,36000
binary_search_ai,15,36000
linear_ai,8959,37000
binary_search_ai,14,37000
linear_ai,13591,38000
binary_search_ai,16,38000
linear_ai,3425,39000
binary_search_ai,15,39000
linear_ai,20651,40000
binary_search_ai,14,40000
linear_ai,29269,41000
binary_search_ai,16,41000
linear_ai,7528,42000
binary_search_ai,12,42000
linear_ai,18684,43000
binary_search_ai,13,43000
linear_ai,8272,44000
binary_search_ai,16,44000
linear_ai,41189,45000
binary_search_ai,12,45000
linear_ai,23353,46000
binary_search_ai,16,46000
linear_ai,38927,47000
binary_search_ai,16,47000
linear_ai,31032,48000
binary_search_ai,15,48000
linear_ai,27303,49000
binary_search_ai,12,49000
linear_ai,38571,50000
binary_search_ai,15,50000
linear_ai,22415,51000
binary_search_ai,11,51000
linear_ai,9618,52000
binary_search_ai,10,52000
linear_ai,25450,53000
binary_search_ai,16,53000
linear_ai,2084,54000
binary_search_ai,16,54000
linear_ai,47742,55000
binary_search_ai,15,55000
linear_ai,5264,56000
